V1,V2
X.Cldays.Week.42.,-0.664429314
X.Codays.Week.42.,1.802040781
X.Prcp.Week.43.,0.09432122
X.Tmax.Week.43.,-5.795502112
X.Tmin.Week.43.,1.229066964
X.Srad.Week.43.,-0.439410138
X.Gdd.Week.43.,-0.217178342
X.Rdays.Week.43.,0.155465105
X.Exrain.Week.43.,0.507643313
X.Cldays.Week.43.,0.211112863
X.Codays.Week.43.,2.489446288
X.Prcp.Week.44.,1.076932128
X.Tmax.Week.44.,9.983558149
X.Tmin.Week.44.,2.302093286
X.Srad.Week.44.,-1.688545007
X.Gdd.Week.44.,-4.191123031
X.Rdays.Week.44.,-0.319832073
X.Exrain.Week.44.,-0.258581014
X.Cldays.Week.44.,-0.281143173
X.Codays.Week.44.,0.533426111
X.Prcp.Week.45.,-0.765090015
X.Tmax.Week.45.,-3.96249719
X.Tmin.Week.45.,3.114925143
X.Srad.Week.45.,-1.49660763
X.Gdd.Week.45.,-0.835858074
X.Rdays.Week.45.,-0.339347337
X.Exrain.Week.45.,-0.283096313
X.Cldays.Week.45.,-1.554226782
X.Codays.Week.45.,0.631764451
X.Prcp.Week.46.,-0.169528283
X.Tmax.Week.46.,6.95134457
X.Srad.Week.46.,-0.853141038
X.Gdd.Week.46.,2.307740455
X.Rdays.Week.46.,-0.60670642
X.Exrain.Week.46.,-0.022833177
X.Cldays.Week.46.,-1.903674608
X.Codays.Week.46.,0.636510471
X.Prcp.Week.47.,0.43097267
X.Tmax.Week.47.,-6.847517118
X.Tmin.Week.47.,3.925287895
X.Srad.Week.47.,0.023977525
X.Gdd.Week.47.,2.509791481
X.Rdays.Week.47.,-0.385147624
X.Exrain.Week.47.,-0.811722186
X.Cldays.Week.47.,-0.506222579
X.Codays.Week.47.,0.687172111
X.Prcp.Week.48.,-0.507102102
X.Tmax.Week.48.,8.099184204
X.Tmin.Week.48.,-3.934840893
X.Srad.Week.48.,-2.246371136
X.Gdd.Week.48.,-1.468183858
X.Exrain.Week.48.,-0.599207915
X.Cldays.Week.48.,1.183410352
X.Codays.Week.48.,-0.681644339
X.Prcp.Week.49.,0.569332015
X.Tmax.Week.49.,-1.681182135
X.Tmin.Week.49.,-1.041485186
X.Srad.Week.49.,0.903332207
X.Gdd.Week.49.,0.719993677
X.Rdays.Week.49.,-0.107226546
X.Exrain.Week.49.,-0.141359676
X.Cldays.Week.49.,-0.215821552
X.Codays.Week.49.,2.734085278
X.Prcp.Week.50.,1.779969278
X.Tmax.Week.50.,-5.565069759
X.Tmin.Week.50.,10.08541848
X.Srad.Week.50.,0.213074877
X.Gdd.Week.50.,2.151418672
X.Rdays.Week.50.,-1.124925508
X.Exrain.Week.50.,-0.178857081
X.Cldays.Week.50.,0.372692643
X.Codays.Week.50.,0.895277571
X.Prcp.Week.51.,1.949828803
X.Tmax.Week.51.,-5.682478038
X.Tmin.Week.51.,-2.759250338
X.Srad.Week.51.,-1.067362493
X.Gdd.Week.51.,0.120101163
X.Rdays.Week.51.,-0.668290312
X.Exrain.Week.51.,-0.55796188
X.Cldays.Week.51.,0.240382897
X.Codays.Week.51.,-0.658592597
X.Prcp.Week.52.,-0.546053832
X.Tmax.Week.52.,-10.907273
X.Tmin.Week.52.,6.382019597
X.Srad.Week.52.,0.156162584
X.Gdd.Week.52.,-1.291158394
X.Rdays.Week.52.,-0.500753604
X.Exrain.Week.52.,-0.371417442
X.Cldays.Week.52.,-0.515773557
X.Codays.Week.52.,-1.440168308
